barcode,policy_table9,k,outer_fold,future_point_count,soh_rmse,soh_mae,soh_mse
EL150800460634,3.6C(30%)-6C,100,3,410,0.025473759230708146,0.022610795787656984,0.0006489124093440885
EL150800463208,4C(40%)-6C,100,3,382,0.013170719177881264,0.011669226930281,0.00017346784366260932
EL150800463882,5.4C(40%)-3.6C,100,3,687,0.042253317674907614,0.024916010716218556,0.0017853428545366605
EL150800460466,4C(13%)-5C,100,4,376,0.012335099420513947,0.008805992807240535,0.00015215467771396353
EL150800460513,5.6C(65%)-3C,100,4,328,0.020105772232604926,0.011279800349644018,0.00040424207706938725
EL150800460615,6C(40%)-3C,100,4,608,0.008186802338981915,0.0064533227697233875,6.702373253755977e-05
EL150800460628,5.2C(71%)-3C,100,4,362,0.020377168266152157,0.012848777294807863,0.00041522898654707853
EL150800460655,3.6C(22%)-5.5C,100,4,343,0.04216794274896764,0.03282310594093997,0.0017781353956802125
EL150800463229,7C(30%)-3.6C,100,4,865,0.016603823979350087,0.010153328565926302,0.000275686970737241
EL150800464881,5.4C(60%)-3C,100,4,687,0.05068253010762042,0.03390935870537365,0.0025687188581098503
EL150800464883,4.4C(80%)-4.4C,100,4,973,0.05618753973319432,0.03686201437860849,0.0031570396212692903
EL150800440551,4.4C(55%)-6C,100,5,360,0.06371815886692964,0.050932471295285116,0.004060003769391285
EL150800453773,6C(60%)-3C,100,5,516,0.00981519740237976,0.0053461191452319114,9.633810004768236e-05
EL150800460602,2C(2%)-5C,100,5,337,0.025494060200718364,0.01738099827521458,0.0006499471055178521
EL150800460604,4.9C(69%)-4.25C,100,5,397,0.020742411709324622,0.010746004999700024,0.00043024764351912723
EL150800460627,5.6C(58%)-3.5C,100,5,358,0.033476113186894224,0.016956629126115813,0.0011206501541017532
EL150800460640,6C(40%)-3.6C,100,5,630,0.02176764104575403,0.014583892343131968,0.0004738301966967956
EL150800460641,5.2C(58%)-4C,100,5,419,0.008890417245446699,0.007495768059387901,7.903951879813607e-05
EL150800463871,5.4C(60%)-3.6C,100,5,458,0.022984167184871996,0.020275598787709452,0.0005282719411821466
