model_id,barcode,policy_table9,k,outer_fold,future_point_count,soh_mse,soh_rmse,soh_mae
M3R,EL150800460604,4.9C(69%)-4.25C,50,5,447,0.0006699933330578415,0.025884229427546063,0.013385830993971073
M3R,EL150800460627,5.6C(58%)-3.5C,50,5,408,0.0011240805571277968,0.03352731061579197,0.016531552320722284
M3R,EL150800460640,6C(40%)-3.6C,50,5,680,0.00033995909315487306,0.018437979638639183,0.012401611981015697
M3R,EL150800460641,5.2C(58%)-4C,50,5,469,0.0005115410466608582,0.022617273192426585,0.0122316478643111
M3R,EL150800463871,5.4C(60%)-3.6C,50,5,508,0.0023830686715338597,0.04881668435621022,0.03735196808948373
M3R,EL150800453113,5.4C(50%)-3C,100,1,618,8.11484768755625e-05,0.009008244938697132,0.00711035299808042
M3R,EL150800460478,4.4C(24%)-5C,100,1,393,0.0005035965182199703,0.02244095626794835,0.016110213539695058
M3R,EL150800460511,5.6C(38%)-4.25C,100,1,377,0.0003150209936275764,0.01774883076790064,0.009497075753531472
M3R,EL150800460518,1C(4%)-6C,100,1,199,0.004436953617361845,0.06661046177112005,0.055491793600983066
M3R,EL150800460608,5.2C(37%)-4.5C,100,1,391,0.0007960174649837411,0.02821378147260202,0.016113132636755494
M3R,EL150800460611,4.8C(80%)-4.8C,100,1,360,0.0024882496433798725,0.04988235803748528,0.034812182582818714
M3R,EL150800460613,6C(4%)-4.75C,100,1,386,7.715470751474974e-05,0.00878377524272734,0.005996414955753194
M3R,EL150800460614,4.9C(27%)-4.75C,100,1,367,0.000664846782435196,0.025784622984158526,0.0171392455070206
M3R,EL150800465027,4.8C(80%)-4.8C,100,1,769,0.00016992995438302026,0.013035718406862748,0.007722056444298252
M3R,EL150800460486,3.6C(80%)-3.6C,100,2,2059,0.006619833984089107,0.08136236220814332,0.06169290036142218
M3R,EL150800460498,6C(31%)-4.25C,100,2,361,6.116771921046686e-05,0.007820979427825319,0.0059131286470513215
M3R,EL150800460501,4.65C(69%)-6C,100,2,426,0.00018207850333292725,0.013493646776647418,0.007847168808381863
M3R,EL150800460522,5.4C(50%)-3.6C,100,2,756,0.004051488704684365,0.06365130560078375,0.04551217609518114
M3R,EL150800460525,6C(50%)-3C,100,2,641,0.00039866478825946396,0.01996659180379726,0.014654073236764488
M3R,EL150800460618,7C(40%)-3C,100,2,601,0.0004947345198744133,0.02224262843897756,0.012648230305075059
M3R,EL150800460659,5.4C(80%)-5.4C,100,2,769,8.636813513867305e-05,0.009293445816201494,0.006993392533661199
M3R,EL150800464977,4C(80%)-4C,100,2,1333,0.004466310621369612,0.06683046177731837,0.04622390938661197
M3R,EL150800460485,7C(40%)-3.6C,100,3,515,0.0006465996637477905,0.025428324045201848,0.01698161794404908
M3R,EL150800460506,6C(50%)-3.6C,100,3,603,0.0020594799305928605,0.0453814932609413,0.02614496011919459
M3R,EL150800460507,6C(30%)-3.6C,100,3,759,0.0003518134695073961,0.018756691326227985,0.012002130833278493
M3R,EL150800460603,4.65C(19%)-4.85C,100,3,388,0.00013144821987907574,0.011465086998321284,0.01015159402267007
M3R,EL150800460630,5.4C(70%)-3C,100,3,916,0.0015814218251320906,0.039767094753477915,0.024951325153153084
M3R,EL150800460634,3.6C(30%)-6C,100,3,410,0.004831917943377774,0.06951199855692379,0.05768999285575452
M3R,EL150800463208,4C(40%)-6C,100,3,382,0.00017777105504765612,0.01333308122857039,0.011485515962776227
M3R,EL150800463882,5.4C(40%)-3.6C,100,3,687,0.0015929370951504771,0.03991161604283241,0.023109238445031502
M3R,EL150800460466,4C(13%)-5C,100,4,376,0.0001441146813899601,0.012004777440251031,0.008652838656728392
M3R,EL150800460513,5.6C(65%)-3C,100,4,328,0.00043945396427677645,0.02096315730697016,0.011783290871338453
M3R,EL150800460615,6C(40%)-3C,100,4,608,7.169411020104449e-05,0.008467237459823865,0.006674344949465089
M3R,EL150800460628,5.2C(71%)-3C,100,4,362,0.0011053784637628037,0.0332472324226063,0.02074140441073277
