replicate,rmse_log_m1,rmse_log_m2,delta_rmse_log_m2_minus_m1,mae_log_m1,mae_log_m2,delta_mae_log_m2_minus_m1,relative_mae_improvement
1186,0.45905188809442465,0.47046653352518497,0.011414645430760317,0.329962652114208,0.31898004684244996,-0.01098260527175804,0.03328438901005286
1187,0.3836181637002427,0.3725618878304618,-0.011056275869780918,0.2807019415400716,0.25460020518435644,-0.026101736355715166,0.09298737376915868
1188,0.3149938848303703,0.320677487051506,0.005683602221135731,0.2327034345239245,0.20794352093538626,-0.02475991358853824,0.10640115234737821
1189,0.3203519925123751,0.3546769841294027,0.03432499161702757,0.23492529000892595,0.24410927996383885,0.009183989954912902,-0.039093236639460814
1190,0.33531327964234947,0.32133609902570404,-0.013977180616645435,0.24830318679146185,0.22663320448579413,-0.021669982305667718,0.08727226817216532
1191,0.38764918549004934,0.4010733289364152,0.013424143446365833,0.2742594194257519,0.2753427579413982,0.0010833385156462927,-0.003950050349827918
1192,0.4063491386134741,0.40501252102363117,-0.0013366175898429367,0.3042993278968492,0.26814800894867347,-0.03615131894817575,0.11880183633014875
1193,0.3629805484300038,0.4166429435182962,0.0536623950882924,0.27289118255262085,0.29597670365887896,0.02308552110625811,-0.08459606825811089
1194,0.3821432662838163,0.3655155682539455,-0.016627698029870797,0.318579729897163,0.2819982289405492,-0.03658150095661378,0.11482683147613386
1195,0.3471164879376092,0.3174507163277795,-0.029665771609829694,0.295712403635363,0.22505441066681356,-0.07065799296854944,0.23894159358860168
1196,0.36173745956993153,0.34707502806140905,-0.014662431508522478,0.26567766020823436,0.23801000611064752,-0.02766765409758684,0.10413993436972205
1197,0.4503605618453025,0.43080602547309055,-0.01955453637221194,0.3158151996176728,0.26733479517348924,-0.048480404444183556,0.15350877507755845
1198,0.313686966798473,0.3094874757197658,-0.004199491078707207,0.2563240161945589,0.2297282311906268,-0.026595785003932115,0.10375845930778871
1199,0.29989678248151846,0.33346255810689185,0.033565775625373384,0.2457124756429855,0.2353869275022197,-0.010325548140765806,0.04202288920717476
1200,0.4093266817199769,0.3983432561542002,-0.010983425565776694,0.32058745049198817,0.2724830605159229,-0.048104389976065254,0.1500507580762817
1201,0.35841634444011994,0.3639898935439324,0.00557354910381247,0.26095487100365233,0.2503045959088506,-0.010650275094801709,0.04081270854933629
1202,0.3465354590854152,0.3677213073765741,0.021185848291158882,0.2506746653984789,0.2446378071920824,-0.006036858206396489,0.024082442463023317
1203,0.4726875988129086,0.4576187540294078,-0.01506884478350079,0.33450645641686283,0.2824350436578073,-0.052071412759055524,0.15566639076814706
1204,0.2647390575836903,0.25119233455792594,-0.013546723025764373,0.22094975653359597,0.18993998527430922,-0.03100977125928675,0.14034761452462446
1205,0.26957294268449783,0.30239030772210723,0.0328173650376094,0.22022409587039368,0.2218313639641028,0.0016072680937091188,-0.007298329855126427
1206,0.4830174576558283,0.4772021867395152,-0.00581527091631312,0.3657585699828438,0.34823705573573493,-0.01752151424710885,0.0479045897623963
1207,0.3437584624603475,0.36472630361518293,0.02096784115483541,0.27203712192268326,0.2763944509669655,0.004357329044282265,-0.016017406056518562
1208,0.433659215998496,0.4222170942804733,-0.011442121718022669,0.31121550145961546,0.2884061772982139,-0.02280932416140158,0.07329109268151736
1209,0.40511383279464047,0.35624913521395163,-0.04886469758068884,0.31398387085760177,0.24377227813670085,-0.07021159272090091,0.22361528485246088
1210,0.3454583810175125,0.3408754717929263,-0.004582909224586151,0.25708796746850715,0.2244717415997363,-0.03261622586877086,0.12686795959350486
1211,0.3957549344479219,0.3615626734534942,-0.03419226099442774,0.301531764706998,0.25140741625940954,-0.05012434844758845,0.1662323984217546
1212,0.29542142302544144,0.2818767013491855,-0.013544721676255922,0.23486743786246925,0.18835203283766944,-0.04651540502479981,0.19804961236064458
1213,0.480160370374854,0.4928047592762301,0.012644388901376091,0.3416470386903763,0.343718079985063,0.0020710412946866597,-0.0060619325214276995
1214,0.4460554337730761,0.45119792580608536,0.0051424920330092605,0.32059217271789525,0.3056109445161966,-0.01498122820169867,0.04672986266224718
1215,0.3748556838157293,0.36308517004291324,-0.011770513772816071,0.27840983247060525,0.27116323157236505,-0.007246600898240196,0.026028537979186847
1216,0.3437802491443309,0.3266632799545781,-0.017116969189752806,0.26206501641686536,0.22518797083443218,-0.03687704558243318,0.14071716281189195
1217,0.447937924826783,0.42907389619879066,-0.018864028627992357,0.35250946513999815,0.31438829840571436,-0.038121166734283785,0.10814225007871511
1218,0.3141674492043271,0.3522839727540801,0.03811652354975298,0.24790525501440838,0.26588354773625833,0.017978292721849948,-0.07252082139527474
1219,0.3468717156439666,0.3598587993223963,0.012987083678429656,0.2434629759179962,0.2376659602621385,-0.005797015655857718,0.02381066621731545
1220,0.42866412643248164,0.3794392557261843,-0.04922487070629733,0.2944450301738515,0.22625384916042002,-0.06819118101343147,0.23159222953489422
1221,0.4318509280489562,0.4687584971007187,0.03690756905176251,0.29479548168751574,0.31835736530313474,0.023561883615619006,-0.07992620334864795
1222,0.35923367941128376,0.39067829412513916,0.0314446147138554,0.25330715005377236,0.28657081226683284,0.033263662213060485,-0.1313175021155117
1223,0.3184155046589363,0.34530959173498454,0.026894087076048234,0.24803735657709639,0.2568078875832908,0.008770531006194432,-0.035359718097416205
1224,0.34873905087074314,0.3132779924196844,-0.035461058451058736,0.2697340704712097,0.20309672204751245,-0.06663734842369723,0.24704831802406596
1225,0.4222080638893203,0.4477510402990018,0.025542976409681506,0.3144965078691427,0.3216122263291063,0.007115718459963616,-0.022625747128881827
1226,0.38054293745040363,0.33868206218530345,-0.041860875265100184,0.2831710651632152,0.23158465405453763,-0.05158641110867759,0.18217401936509303
1227,0.3578920799678501,0.3290201420957347,-0.028871937872115394,0.2817299383700618,0.2347997283936705,-0.04693020997639133,0.16657871097372304
1228,0.3540136353777068,0.37790000687755887,0.023886371499852066,0.2644707679219167,0.2622419151547791,-0.002228852767137579,0.008427595929224336
1229,0.3647543029799428,0.33189114492586164,-0.03286315805408119,0.29060298059042483,0.2189002670527019,-0.07170271353772292,0.24673770858111246
1230,0.3730396391060577,0.3399081858054768,-0.03313145330058087,0.26715269780051104,0.20632208990246054,-0.060830607898050504,0.22769977020211152
1231,0.2833316623792056,0.2879250588186379,0.004593396439432296,0.22274628150552958,0.1918164304196337,-0.030929851085895882,0.13885686834744337
1232,0.3981097457110187,0.41232702620750195,0.014217280496483242,0.2962521604442787,0.27171111819120264,-0.024541042253076073,0.08283835708159142
1233,0.36840329555550927,0.3873268770660711,0.018923581510561838,0.2747485269805992,0.27801785733930373,0.0032693303587045253,-0.011899355365553543
1234,0.46930803213772215,0.45828897694028076,-0.011019055197441396,0.30131691417842266,0.27723029495270135,-0.024086619225721306,0.07993782656176608
1235,0.3120445844906683,0.27103801388272253,-0.04100657060794577,0.2793416908765366,0.20160766855157775,-0.07773402232495885,0.2782757635676936
1236,0.41131691680142635,0.37812150914001347,-0.03319540766141288,0.3115510618962759,0.24430797070769775,-0.06724309118857816,0.21583329159367548
1237,0.35287957998563585,0.3606534390978443,0.007773859112208459,0.24853779645441954,0.24723659355222763,-0.0013012029021919058,0.005235432681686865
1238,0.38705054516172477,0.37081969015109945,-0.016230855010625322,0.29370301740418253,0.2587263593643255,-0.034976658039857056,0.11908852128585236
1239,0.3700285485041915,0.36681211749387405,-0.003216431010317433,0.297606049159008,0.2740452533087274,-0.02356079585028059,0.0791677316938282
