C1,Q1_percent,C2,q,single_stage_0_80,C2_effective,tau_0_80_min,E0_20,E20_40,E40_60,E60_80,observed_train_parameter_combo,d5_raw,d5_soc,passes_raw_5nn,passes_soc_5nn,passes_double_5nn,support_bootstrap_rate,passes_support_bootstrap,q2b_pred_log_life,q2b_pred_cycle_life,model_disagreement_log,candidate_type,status,status_reason
5.4,30.0,5.5,0.3,False,5.5,8.787878787878787,5.4,5.45,5.499999999999999,5.5,False,1.0036222661246736,2.1366763009320424,True,True,True,0.989,True,6.043241822119002,421.256462215153,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,50.0,4.75,0.5,False,4.75,8.789473684210527,6.000000000000001,6.000000000000001,5.375,4.75,False,0.9200000000000003,2.17798097566629,True,True,True,0.996,True,5.749293805821447,313.96885899705194,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.4,31.0,5.5,0.31,False,5.5,8.789898989898989,5.4,5.444999999999999,5.499999999999999,5.5,False,0.995865176105477,2.1328183093946453,True,True,True,0.989,True,6.043655250037458,421.43065740355837,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,24.0,5.4,0.24,False,5.4,8.793650793650794,5.599999999999999,5.44,5.4,5.4,False,0.8478556384629816,2.204088885109498,True,True,True,0.822,True,5.990352752751154,399.5555293830145,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,40.0,5.0,0.4,False,5.0,8.8,6.000000000000001,6.000000000000001,5.0,5.000000000000001,False,1.0422639121163124,2.2401181697084307,True,True,True,0.989,True,5.872458388128252,355.12093311541594,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,58.0,4.4,0.58,False,4.4,8.8,6.000000000000001,6.000000000000001,5.84,4.4,False,0.7621679604916497,2.112474392790999,True,True,True,0.992,True,5.746783987284701,313.1818421826056,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.4,37.0,5.5,0.37,False,5.5,8.802020202020202,5.4,5.415000000000001,5.499999999999999,5.5,False,0.9028370816035237,2.125363989656097,True,True,True,0.995,True,6.024085391161571,413.26349467610527,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.4,38.0,5.5,0.38,False,5.5,8.804040404040403,5.4,5.41,5.499999999999999,5.5,False,0.886872802236566,2.1259446098744035,True,True,True,0.997,True,6.017148676951153,410.40672367709806,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,71.0,4.5,0.71,False,4.5,8.807142857142857,5.599999999999999,5.599999999999999,5.6,5.105,False,0.7746918413018126,2.141837125688178,True,True,True,1.0,True,6.00937075377602,407.2269935880415,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.4,40.0,5.5,0.4,False,5.5,8.80808080808081,5.4,5.4,5.499999999999999,5.5,False,0.9220230813271437,2.1271979780081964,True,True,True,0.906,True,6.000125187617941,403.4793009437892,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.2,13.0,5.5,0.13,False,5.5,8.809090909090909,5.305,5.5,5.499999999999999,5.5,False,0.8500000000000004,2.1169559378211824,True,True,True,0.833,True,6.148753533876529,468.13351040496934,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,65.0,4.85,0.65,False,4.85,8.8199558173785,5.599999999999999,5.599999999999999,5.6,5.0375,False,0.751598296964542,2.124579892392396,True,True,True,0.999,True,5.680327403378178,293.0453582583162,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,60.0,4.25,0.6,False,4.25,8.823529411764707,6.000000000000001,6.000000000000001,6.0,4.25,False,0.6764628894598184,2.0518549005488236,True,True,True,0.987,True,5.845808248362294,345.781906527485,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
