repeat,feature,standardized_coefficient
239,Q1_percent,0.13972829538390424
239,C2,-0.046265389608829526
240,C1,-0.06720563841867042
240,Q1_percent,0.15284945438766379
240,C2,-0.17896057587112926
241,C1,0.11967233467831419
241,Q1_percent,0.017574306556837303
241,C2,-0.020075865538113233
242,C1,-0.06769696453861242
242,Q1_percent,0.15715697609112958
242,C2,-0.12110367930429256
243,C1,0.04783481661951294
243,Q1_percent,0.12282072190372383
243,C2,-0.08360134501268493
244,C1,-0.14440503482844153
244,Q1_percent,0.15469098369593207
244,C2,-0.17181612177353991
245,C1,-0.05516336414921282
245,Q1_percent,0.18202676248062352
245,C2,-0.08631635100065571
246,C1,0.0515769380025226
246,Q1_percent,0.1784368030200932
246,C2,-0.03962303908925161
247,C1,0.12394418986357042
247,Q1_percent,-0.0017628158452722025
247,C2,-0.02379201452317292
248,C1,-0.11675847566791456
248,Q1_percent,0.1282780100243072
248,C2,-0.14887331470412968
249,C1,-0.13380506264768918
249,Q1_percent,0.13261150711401468
249,C2,-0.14317382051660552
250,C1,0.008188150049603486
250,Q1_percent,0.15195620130960424
250,C2,-0.08432888894010009
251,C1,-0.0860181528313389
251,Q1_percent,0.11744168791222465
251,C2,-0.11338023748469057
252,C1,-0.09441356379252458
252,Q1_percent,0.2250931232036276
252,C2,-0.16627774943687934
253,C1,-0.06457481787537377
253,Q1_percent,0.1910167438410939
253,C2,-0.13056948481955655
254,C1,-0.011915534954798586
254,Q1_percent,0.16644465147192658
254,C2,-0.09027829254780231
255,C1,-0.021731458290521945
255,Q1_percent,0.1812765259310983
255,C2,-0.10220638862365844
256,C1,-0.06389586197184365
256,Q1_percent,0.17602182070751826
256,C2,-0.21543830862825017
257,C1,0.10437837608384855
257,Q1_percent,0.08079113430761105
257,C2,-0.026519011697565043
258,C1,0.02473442389258526
258,Q1_percent,0.21304541030130156
258,C2,-0.055196364026636274
259,C1,-0.13138648790326457
259,Q1_percent,0.297777786629988
259,C2,-0.1956562192754395
260,C1,-0.06885089936559495
260,Q1_percent,0.1482713485849524
260,C2,-0.1960551944075856
261,C1,0.01606815933127708
261,Q1_percent,0.16714308383167617
261,C2,-0.096116662156315
262,C1,-0.028915649113046834
262,Q1_percent,0.2109513634706436
262,C2,-0.11156250210618293
263,C1,-0.15789562133875973
263,Q1_percent,0.09462334296926729
263,C2,-0.18379279225737158
264,C1,0.12105511570571449
264,Q1_percent,0.08505792768069172
264,C2,-0.035373201587354505
265,C1,-0.026960731924094938
265,Q1_percent,0.10360603489580521
265,C2,-0.08966311540434509
266,C1,-0.08837948852582977
266,Q1_percent,0.16735903320327516
266,C2,-0.19875049916065413
267,C1,0.02529621796583683
267,Q1_percent,0.21660240034947126
267,C2,-0.059131573340294945
268,C1,-0.1560678226479824
268,Q1_percent,0.17686628999626783
268,C2,-0.17076054266581242
269,C1,0.07041665976608584
269,Q1_percent,0.0708109813248022
269,C2,-0.08310477010656857
270,C1,0.07143857201650504
270,Q1_percent,0.059601037934680426
270,C2,-0.10450413593430105
271,C1,-0.024176691918282124
271,Q1_percent,0.1535741358968937
271,C2,-0.09239166385485903
272,C1,0.038270036267649986
272,Q1_percent,0.12432133625501235
272,C2,-0.082112168296229
273,C1,-0.10794135607373326
273,Q1_percent,0.21437118131610838
273,C2,-0.17646317017106178
274,C1,-0.126164627439763
274,Q1_percent,0.12334465507175764
274,C2,-0.13054423753039063
275,C1,0.0021599550481408184
275,Q1_percent,0.11748985064871492
275,C2,-0.15506796277031687
276,C1,-0.11246128537626862
276,Q1_percent,0.22156961459530777
276,C2,-0.19099662658915723
277,C1,-0.022355255291163594
277,Q1_percent,0.12861802009261272
277,C2,-0.10566124532713901
278,C1,-0.02436239259352352
278,Q1_percent,0.24864932278355986
278,C2,-0.1913801791341301
279,C1,-0.1467356464846819
279,Q1_percent,0.11815670174998938
279,C2,-0.2217802327184124
280,C1,0.07664917839090767
280,Q1_percent,0.05851941686642257
280,C2,-0.031038637096686646
281,C1,-0.041207752303028075
281,Q1_percent,0.1038131875720757
281,C2,-0.1488069193842402
282,C1,-0.03265565617523714
282,Q1_percent,0.19288555114775108
282,C2,-0.08746616990959727
283,C1,-0.05114104838918183
283,Q1_percent,0.19354603544091142
283,C2,-0.10916929454933705
284,C1,-0.09506597785498888
284,Q1_percent,0.248006860140252
284,C2,-0.1098087766553075
285,C1,-0.04350334928951608
285,Q1_percent,0.1461586378837366
285,C2,-0.12954264812389404
286,C1,-0.05947150119963006
286,Q1_percent,0.1533984928068854
286,C2,-0.14914789888914545
287,C1,0.03988773625276386
287,Q1_percent,0.10202233346349185
287,C2,-0.08343893580877963
288,C1,-0.03422289505180327
288,Q1_percent,0.11361872802157781
288,C2,-0.17058231899756823
289,C1,-0.07202084467212626
289,Q1_percent,0.2376062582629138
289,C2,-0.13683685841442947
290,C1,-0.06538600320465546
290,Q1_percent,0.21411903032495383
290,C2,-0.1752516594690337
291,C1,-0.03006365175396507
291,Q1_percent,0.14947802885155342
291,C2,-0.14715316228096692
292,C1,0.11252964639786207
292,Q1_percent,0.0667462923178055
292,C2,-0.04452654985891566
