model_id,model_name,barcode,policy_table9,k,outer_fold,future_point_count,soh_mse,soh_rmse,soh_mae
M1,策略参数 Ridge（设计前基线）,EL150800460507,6C(30%)-3.6C,5,3,854,0.004231077784284958,0.06504673538529784,0.04404076657034436
M1,策略参数 Ridge（设计前基线）,EL150800460603,4.65C(19%)-4.85C,5,3,483,0.0003757240675851539,0.019383603059935837,0.014508125160316387
M1,策略参数 Ridge（设计前基线）,EL150800460630,5.4C(70%)-3C,5,3,1011,0.0037121470786926924,0.060927391858610624,0.04099231853939277
M1,策略参数 Ridge（设计前基线）,EL150800460634,3.6C(30%)-6C,5,3,505,0.0014624963532488928,0.03824259867280063,0.0328270448728843
M1,策略参数 Ridge（设计前基线）,EL150800463208,4C(40%)-6C,5,3,477,0.0009797320169449666,0.03130067119000752,0.025759501875291444
M1,策略参数 Ridge（设计前基线）,EL150800463882,5.4C(40%)-3.6C,5,3,782,0.002252936870963697,0.04746511214527674,0.032410786488324995
M1,策略参数 Ridge（设计前基线）,EL150800460466,4C(13%)-5C,5,4,471,0.0003725769187897596,0.019302251650772758,0.01428624199526658
M1,策略参数 Ridge（设计前基线）,EL150800460513,5.6C(65%)-3C,5,4,423,0.0017175347740274877,0.04144315111122087,0.022323991776613965
M1,策略参数 Ridge（设计前基线）,EL150800460615,6C(40%)-3C,5,4,703,0.0003105973995427722,0.017623773703233148,0.011713001210160646
M1,策略参数 Ridge（设计前基线）,EL150800460628,5.2C(71%)-3C,5,4,457,0.0017344225987652932,0.04164639958946383,0.024347676230118933
M1,策略参数 Ridge（设计前基线）,EL150800460655,3.6C(22%)-5.5C,5,4,438,0.0011375042070867654,0.033726906278026235,0.026450400380170245
M1,策略参数 Ridge（设计前基线）,EL150800463229,7C(30%)-3.6C,5,4,960,0.00577657382593732,0.07600377507688233,0.05452865736569361
M1,策略参数 Ridge（设计前基线）,EL150800464881,5.4C(60%)-3C,5,4,782,0.00016191490217451465,0.012724578663928902,0.007274568298925245
M1,策略参数 Ridge（设计前基线）,EL150800464883,4.4C(80%)-4.4C,5,4,1068,0.005318673456874293,0.07292923595427483,0.05139242692710059
