replicate,method_id,rmse_log,mae_log,rmse_cycle,mae_cycle,overprediction_rate,mean_positive_log_error,mean_positive_cycle_error
809,P1_ridge,0.34464245585043873,0.23181632084003892,324.0501194872688,179.40584856893514,0.5121951219512195,0.11735518653188635,71.04307593992293
809,P2_elasticnet,0.342755134892815,0.22589740354177804,322.0485346330011,174.10256807890212,0.4146341463414634,0.11581386779364662,70.14990456296505
809,P3_additive_gam,0.3184919366540389,0.20581731972275222,308.728817459035,159.7444102059775,0.5121951219512195,0.09904968705850029,59.83297613973024
809,C1_restricted_boosting,0.29578937411261164,0.2081304941213857,288.3128493239418,163.13660514229832,0.4878048780487805,0.09716763817612833,61.385747421651494
810,P1_ridge,0.3563019149705112,0.24576851098401664,318.95292088505164,176.51686181572097,0.6904761904761905,0.16191680115757778,94.56512434983244
810,P2_elasticnet,0.35810066722348743,0.24578147313938,319.8993361799865,176.9537636392983,0.6666666666666666,0.15680501216084625,91.97989105935119
810,P3_additive_gam,0.3478027487299334,0.22437956098060244,314.93705444658127,162.09430157993884,0.5238095238095238,0.13003394314864403,76.35598090262485
810,C1_restricted_boosting,0.32055078160121864,0.23520811189729587,287.7489113685271,165.42322131088258,0.5714285714285714,0.11596647511084904,69.39979769625778
811,P1_ridge,0.3268443662357121,0.22317039262890265,296.93090455953944,158.7915018747623,0.575,0.11756878981437398,64.47346086318969
811,P2_elasticnet,0.3389754358439648,0.23163934106434536,301.21288017855903,163.54387625825365,0.55,0.12405813318264144,68.8547265813567
811,P3_additive_gam,0.2897094568765749,0.1899001745335429,280.63648682383865,138.72669540295857,0.5,0.08400368471922373,46.45828947612317
811,C1_restricted_boosting,0.2936845740330104,0.1870596050408982,265.1699346757998,130.52410466051555,0.4,0.08402984773260669,47.65942180725658
812,P1_ridge,0.40206813993541307,0.2658596878825426,410.61917348124234,218.65220734177282,0.525,0.10527640762835049,60.31277291532651
812,P2_elasticnet,0.4060599064887522,0.2673096143939061,411.43809081551143,218.9563375470103,0.45,0.11018240058436665,63.790603626103334
812,P3_additive_gam,0.3609797080126781,0.21658620516609822,386.7678335515923,183.460114216585,0.4,0.08326704977776526,48.598208674669664
812,C1_restricted_boosting,0.33205067217659473,0.2093431874075601,362.7658638223548,184.04665484685307,0.4,0.07893060306354685,51.56713376817369
813,P1_ridge,0.2725921910657621,0.2225302211601581,172.51511769400403,139.14251362081515,0.6829268292682927,0.1623919664764885,94.1672360951178
813,P2_elasticnet,0.278492379826521,0.2236977277987824,174.9209505025469,139.16074721454964,0.5609756097560976,0.16484904143736676,96.0156378929107
813,P3_additive_gam,0.26161036535147714,0.19963306829820357,169.2539222585833,125.71264743520358,0.6097560975609756,0.12590530744867293,75.53558327048631
813,C1_restricted_boosting,0.29310173563044706,0.22359481095054348,186.57148974653597,139.9825463590736,0.43902439024390244,0.11778635102221308,73.2709101238643
814,P1_ridge,0.2687688898245861,0.20273267242819093,145.08895913909467,113.29307431611709,0.6190476190476191,0.17145335014339752,90.46583554057023
